epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,433.066,0.55289,0.99615,0.99941,0.01791,0.000255813,0.000255813,0.000255813
2,861.761,0.07514,0.9923,0.99941,0.02338,0.000491866,0.000491866,0.000491866
3,1273.47,0.09762,0.99111,0.9997,0.02846,0.000707616,0.000707616,0.000707616
4,1703.93,0.07832,0.98015,0.99941,0.06656,0.000677643,0.000677643,0.000677643
5,2144.28,0.04776,0.99911,0.9997,0.00382,0.00064719,0.00064719,0.00064719
6,2589.23,0.04006,0.99407,0.99941,0.01776,0.000616738,0.000616738,0.000616738
7,3034.05,0.03045,0.99881,0.9997,0.00381,0.000586286,0.000586286,0.000586286
8,3476.67,0.03669,0.99881,0.9997,0.00602,0.000555833,0.000555833,0.000555833
9,3917.24,0.02151,0.99941,1,0.00256,0.000525381,0.000525381,0.000525381
10,4339.6,0.02452,0.99911,1,0.00309,0.000494928,0.000494928,0.000494928
11,4771.44,0.01934,0.99763,0.99941,0.00722,0.000464476,0.000464476,0.000464476
12,5213.75,0.02211,0.99911,1,0.00213,0.000434024,0.000434024,0.000434024
13,5660.72,0.01756,0.99941,1,0.00194,0.000403571,0.000403571,0.000403571
14,6107.83,0.01624,0.99911,1,0.00164,0.000373119,0.000373119,0.000373119
15,6534.68,0.01645,0.99881,1,0.00318,0.000342666,0.000342666,0.000342666
16,6956.6,0.01094,0.9997,1,0.00071,0.000312214,0.000312214,0.000312214
17,7374.46,0.01121,0.99941,1,0.00155,0.000281762,0.000281762,0.000281762
18,7795.91,0.00952,0.9997,1,0.00098,0.000251309,0.000251309,0.000251309
19,8213.28,0.00993,0.99941,1,0.00151,0.000220857,0.000220857,0.000220857
20,8646.8,0.01073,0.9997,1,0.00035,0.000190404,0.000190404,0.000190404
21,9075.48,0.00788,0.9997,1,0.00035,0.000159952,0.000159952,0.000159952
22,9499.03,0.00561,1,1,0.00023,0.0001295,0.0001295,0.0001295
23,9920.44,0.00597,0.9997,1,0.00047,9.90472e-05,9.90472e-05,9.90472e-05
24,10342.7,0.00487,0.9997,1,0.00075,6.85948e-05,6.85948e-05,6.85948e-05
25,10762.3,0.00423,0.9997,1,0.00042,3.81424e-05,3.81424e-05,3.81424e-05
