epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,504.179,0.63573,0.99733,0.99941,0.01226,0.000255813,0.000255813,0.000255813
2,1031.49,0.04735,0.99556,0.99941,0.0123,0.000491866,0.000491866,0.000491866
3,1552.38,0.05721,0.99496,0.99941,0.01413,0.000707616,0.000707616,0.000707616
4,2074.37,0.04439,0.99763,0.99941,0.0079,0.000677643,0.000677643,0.000677643
5,2597.58,0.03384,0.99911,0.99941,0.00295,0.00064719,0.00064719,0.00064719
6,3127.58,0.02274,0.99911,1,0.004,0.000616738,0.000616738,0.000616738
7,3654.42,0.0185,0.99911,1,0.00317,0.000586286,0.000586286,0.000586286
8,4180.98,0.02053,0.99911,1,0.00199,0.000555833,0.000555833,0.000555833
9,4706.27,0.01555,0.99733,0.99911,0.00866,0.000525381,0.000525381,0.000525381
10,5230.03,0.01794,0.99941,0.99941,0.00217,0.000494928,0.000494928,0.000494928
11,5755.43,0.01571,0.99941,1,0.00213,0.000464476,0.000464476,0.000464476
12,6283.2,0.0125,0.99941,1,0.00196,0.000434024,0.000434024,0.000434024
13,6811.7,0.01092,0.99941,1,0.00138,0.000403571,0.000403571,0.000403571
14,7343.6,0.0088,0.99941,1,0.0009,0.000373119,0.000373119,0.000373119
15,7869.8,0.008,0.99941,1,0.00127,0.000342666,0.000342666,0.000342666
16,8398.93,0.00797,0.99941,1,0.00077,0.000312214,0.000312214,0.000312214
17,8923.58,0.00565,1,1,0.00047,0.000281762,0.000281762,0.000281762
18,9453.19,0.00836,1,1,0.0004,0.000251309,0.000251309,0.000251309
19,9977.66,0.00782,1,1,0.00051,0.000220857,0.000220857,0.000220857
20,10521.5,0.00356,1,1,0.00028,0.000190404,0.000190404,0.000190404
21,11061.4,0.00436,1,1,0.00014,0.000159952,0.000159952,0.000159952
22,11578.9,0.00315,1,1,0.00011,0.0001295,0.0001295,0.0001295
23,12090.9,0.00263,1,1,9e-05,9.90472e-05,9.90472e-05,9.90472e-05
24,12605,0.00282,1,1,8e-05,6.85948e-05,6.85948e-05,6.85948e-05
25,13127.6,0.00265,1,1,7e-05,3.81424e-05,3.81424e-05,3.81424e-05
