epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,567.889,0.44,0.99141,0.99941,0.03151,0.000255813,0.000255813,0.000255813
2,1134.26,0.10735,0.9917,0.9997,0.02946,0.000491866,0.000491866,0.000491866
3,1695.26,0.13003,0.99289,0.9997,0.02629,0.000707616,0.000707616,0.000707616
4,2258.54,0.09785,0.99319,0.99941,0.01657,0.000677643,0.000677643,0.000677643
5,2816.81,0.06823,0.99852,0.99941,0.0081,0.00064719,0.00064719,0.00064719
6,3384.4,0.04464,0.99911,1,0.00492,0.000616738,0.000616738,0.000616738
7,3953.52,0.04165,0.99881,1,0.00628,0.000586286,0.000586286,0.000586286
8,4533.24,0.03735,0.99733,0.99941,0.01243,0.000555833,0.000555833,0.000555833
9,5110.01,0.02461,0.99793,0.99941,0.00569,0.000525381,0.000525381,0.000525381
10,5689.56,0.02459,0.99881,1,0.00381,0.000494928,0.000494928,0.000494928
11,6270.78,0.02125,0.9997,1,0.00182,0.000464476,0.000464476,0.000464476
12,6851.03,0.01604,0.99911,1,0.00355,0.000434024,0.000434024,0.000434024
13,7433.02,0.01705,0.99911,1,0.00333,0.000403571,0.000403571,0.000403571
14,8015.28,0.02114,0.99911,1,0.00312,0.000373119,0.000373119,0.000373119
15,8594.95,0.01508,0.99881,1,0.00251,0.000342666,0.000342666,0.000342666
16,9164.48,0.01273,0.99852,0.99941,0.00896,0.000312214,0.000312214,0.000312214
17,9734.55,0.01222,0.99941,1,0.00125,0.000281762,0.000281762,0.000281762
18,10306.2,0.01646,0.99941,1,0.00377,0.000251309,0.000251309,0.000251309
19,10876.7,0.00992,0.9997,1,0.00094,0.000220857,0.000220857,0.000220857
20,11445.5,0.008,0.9997,1,0.00097,0.000190404,0.000190404,0.000190404
21,12013.1,0.00615,0.9997,1,0.00156,0.000159952,0.000159952,0.000159952
22,12577.2,0.00445,0.9997,1,0.00072,0.0001295,0.0001295,0.0001295
23,13141.1,0.00699,0.9997,1,0.0012,9.90472e-05,9.90472e-05,9.90472e-05
24,13701.9,0.00444,0.9997,1,0.00049,6.85948e-05,6.85948e-05,6.85948e-05
25,14268.9,0.0041,1,1,0.00018,3.81424e-05,3.81424e-05,3.81424e-05
