epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,35.7374,0.86926,0.98726,1,0.06187,0.00332923,0.00332923,0.00332923
2,70.1175,0.15241,0.99796,0.99949,0.01393,0.00639873,0.00639873,0.00639873
3,104.378,0.09065,0.99235,1,0.02752,0.00920422,0.00920422,0.00920422
4,138.987,0.08302,0.99796,1,0.00795,0.008812,0.008812,0.008812
5,173.152,0.06225,0.99796,1,0.00748,0.008416,0.008416,0.008416
6,208.264,0.04871,0.99949,0.99949,0.00342,0.00802,0.00802,0.00802
7,243.17,0.0428,0.99898,1,0.0045,0.007624,0.007624,0.007624
8,279.598,0.04146,0.99949,1,0.00343,0.007228,0.007228,0.007228
9,314.436,0.03049,0.99949,0.99949,0.00381,0.006832,0.006832,0.006832
10,349.68,0.02731,0.99847,0.99949,0.00453,0.006436,0.006436,0.006436
11,383.664,0.02585,0.99949,0.99949,0.00266,0.00604,0.00604,0.00604
12,418.442,0.02209,0.99949,0.99949,0.00213,0.005644,0.005644,0.005644
13,453.089,0.02194,0.99898,1,0.00151,0.005248,0.005248,0.005248
14,487.914,0.01902,0.99949,0.99949,0.00313,0.004852,0.004852,0.004852
15,522.626,0.0191,0.99949,1,0.00199,0.004456,0.004456,0.004456
16,578.314,0.01747,0.99949,1,0.00311,0.00406,0.00406,0.00406
17,614.029,0.01553,0.99949,0.99949,0.00284,0.003664,0.003664,0.003664
18,650.379,0.01459,0.99949,0.99949,0.00435,0.003268,0.003268,0.003268
