epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.0325,0.7502,1.96299,1.21019,0.93485,0.87097,0.94101,0.83989,0.47323,0.71402,0.94222,0.000237656,0.000237656,0.000237656
2,102.752,0.73153,1.1563,1.16949,0.94463,0.90598,0.95688,0.85515,0.47602,0.55787,0.92514,0.00045682,0.00045682,0.00045682
3,150.427,0.72991,0.96898,1.16602,0.95625,0.91618,0.95419,0.85238,0.47793,0.51387,0.93754,0.000657134,0.000657134,0.000657134
4,197.225,0.70373,0.84905,1.14516,0.93876,0.90873,0.95572,0.87647,0.42108,0.47889,0.89267,0.000629177,0.000629177,0.000629177
5,244.4,0.67131,0.7553,1.12762,0.96124,0.94233,0.96417,0.90223,0.37735,0.38658,0.8493,0.000600902,0.000600902,0.000600902
6,292.282,0.64414,0.70679,1.10745,0.9652,0.94142,0.96705,0.91779,0.34283,0.3483,0.83537,0.000572628,0.000572628,0.000572628
7,340.76,0.61704,0.66697,1.09236,0.97062,0.94771,0.97432,0.93253,0.29917,0.32017,0.82357,0.000544354,0.000544354,0.000544354
8,388.921,0.59658,0.62277,1.07978,0.97093,0.9433,0.97493,0.92699,0.31786,0.31711,0.8263,0.000516079,0.000516079,0.000516079
9,437.428,0.58523,0.59906,1.06885,0.96822,0.95242,0.97405,0.93062,0.29606,0.29707,0.81593,0.000487805,0.000487805,0.000487805
10,485.709,0.56464,0.57114,1.06044,0.97167,0.95294,0.97764,0.94142,0.27059,0.27284,0.80621,0.00045953,0.00045953,0.00045953
11,533.771,0.54589,0.54792,1.05076,0.97399,0.94847,0.97402,0.94099,0.26826,0.27235,0.79576,0.000431256,0.000431256,0.000431256
12,581.586,0.53384,0.52692,1.04628,0.97731,0.9478,0.97889,0.94632,0.2591,0.26158,0.798,0.000402982,0.000402982,0.000402982
13,627.694,0.51869,0.50753,1.03797,0.96664,0.95451,0.976,0.94806,0.24085,0.25888,0.78866,0.000374707,0.000374707,0.000374707
14,673.693,0.51628,0.49824,1.03701,0.97617,0.95523,0.97784,0.94845,0.24454,0.25718,0.79269,0.000346433,0.000346433,0.000346433
15,719.945,0.5041,0.47859,1.03071,0.96116,0.95828,0.97835,0.95303,0.22945,0.24254,0.78429,0.000318158,0.000318158,0.000318158
16,775.192,0.40769,0.39132,0.97166,0.96614,0.95968,0.97829,0.95182,0.22811,0.24018,0.78236,0.000289884,0.000289884,0.000289884
17,820.265,0.38821,0.36987,0.95911,0.97361,0.95952,0.98082,0.95394,0.22694,0.22783,0.7851,0.00026161,0.00026161,0.00026161
18,865.533,0.37463,0.34137,0.95025,0.97305,0.95355,0.97961,0.95678,0.21955,0.22249,0.7788,0.000233335,0.000233335,0.000233335
19,911.295,0.35964,0.33287,0.94017,0.96546,0.96364,0.98135,0.95879,0.20807,0.21396,0.77158,0.000205061,0.000205061,0.000205061
20,957.654,0.34621,0.3157,0.9327,0.96965,0.96241,0.98139,0.96008,0.2002,0.20847,0.76858,0.000176786,0.000176786,0.000176786
21,1004.16,0.33583,0.29935,0.92295,0.97144,0.9574,0.98153,0.96318,0.19191,0.20482,0.7671,0.000148512,0.000148512,0.000148512
22,1050.91,0.32454,0.29154,0.91963,0.97253,0.96483,0.98253,0.96508,0.18197,0.19247,0.76384,0.000120238,0.000120238,0.000120238
23,1097.29,0.30794,0.277,0.90953,0.97997,0.95855,0.98335,0.96734,0.17827,0.19031,0.76441,9.19632e-05,9.19632e-05,9.19632e-05
24,1143.43,0.29967,0.26446,0.90791,0.97513,0.96079,0.98325,0.96854,0.17216,0.18314,0.76073,6.36888e-05,6.36888e-05,6.36888e-05
25,1190,0.29266,0.25559,0.90233,0.98084,0.96121,0.98294,0.96854,0.16807,0.17856,0.75724,3.54144e-05,3.54144e-05,3.54144e-05
